Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Inyo County,,California,Cal-88,Defense Mine,MC0549,coronadite,,,Wayne E. Hall,36.24441,-117.46062,MRDS,10076654,,Reference Hand Sample(s),Rock Bag,Y,85,0.058,58,E,E3,,
Morocco,Errachidia,,Mor-9,Vein 12-Taouz Tadaout Mine,MC0725,coronadite,,,,30.89956,-3.98167,MRDS,10008198,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.464,464,G,G3,,
Morocco,Midelt,,Mor-10,Akebab Mine,MC0726,coronadite,,,G. Jouravsky,32.66616,-4.66489,MRDS,10008197,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.412,412,G,G3,,
Patagonia Mountains,,Arizona,AR-22,Mowry Mine,MC0027,cryptomelane,,,,31.42847,-110.70400,MRDS,10109889,,Reference Hand Sample(s),Rock Bag,Y,95,0.936,936,A,2,,
Lander County,,Nevada,NE-2A,Black Devil Mine,MC0134,cryptomelane,,,,39.82380,-117.47956,MRDS,10045910,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,50,0.688,688,A,9,,
Meagher County,,Montana,,Victory Manganese Claim,MC0186,cryptomelane,,,"S.K. Neuschel, M.D. Crittenden",46.78711,-111.20776,MRDS,10221919,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.146,146,A,13,,
Butte ,,Montana,,,MC0188,cryptomelane,,,"C.F. Park, Jr.",46.01990,-112.53089,MRDS,10400191,,Reference Hand Sample(s),Rock Bag,Y,90,0.388,388,A,13,,
Jackson County,,Oregon,OR-1,Tyrrell Mine,MC0234,cryptomelane,Lake Creek,,,42.37373,-122.57923,MRDS,10128740,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,60,0.958,958,A,17,,
Dolores County,,Colorado,COL-13,Logan Mine,MC0249,cryptomelane,,,,37.71723,-108.02426,MRDS,10014132,,Reference Hand Sample(s),Rock Bag,Y,80,0.66,660,A,18,,
Humboldt County,,Nevada,NE-28,Raven Claim,MC0276,cryptomelane,,,,41.72904,-119.11880,MRDS,10045026,,Reference Hand Sample(s),Rock Bag,N,90,0.54,540,B,B2,,
Juab County,,Utah,UT-15,Wild Cat Mine,MC0281,cryptomelane,,,,39.85022,-113.45444,MRDS,10020407,,"Reference Hand Sample(s),Sand",Rock Bag,Y,90,0.224,224,B,B2,,
Socorro County,,New Mexico,NM-14,Rheinhart Prospect,MC0299,cryptomelane,Luis Lopez District,,S.K. Neuschel,33.85148,-107.19615,MRDS,10008851,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,1.286,"1,286",B,B3,,
Socorro County,,New Mexico,,Black Feather Claim,MC0320,cryptomelane,Luis Lopez District,,S.K. Neuschel,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,50,0.738,738,B,B4,,
Luna County,,New Mexico,NM-16,Killion Mine,MC0324,cryptomelane,Little Florida Mining District,,,32.21123,-107.59559,MRDS,10198821,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,80,1.228,"1,228",B,B5,,
Socorro County,,New Mexico,,Black Mask Manganese Mine,MC0349,cryptomelane,,,S.K. Neuschel,34.37952,-107.17338,MRDS,10012384,,Reference Hand Sample(s),Rock Bag,Y,40,0.65,650,C,C1,,
Socorro County,,New Mexico,,Negrohead Manganese Mine,MC0365,cryptomelane,,,S.K. Neuschel,34.00676,-107.05670,MRDS,10012393,,Reference Hand Sample(s),Paper Bag,Y,55,1.598,"1,598",C,C2,,
Socorro County,,New Mexico,,Negrohead Manganese Mine,MC0366,cryptomelane,,,S.K. Neuschel,34.00676,-107.05670,MRDS,10012393,,Reference Hand Sample(s),Paper Bag,Y,50,0.86,860,C,C2,,
Socorro County,,New Mexico,,Negrohead Manganese Mine,MC0367,cryptomelane,,,S.K. Neuschel,34.00676,-107.05670,MRDS,10012393,,Reference Hand Sample(s),Paper Bag,Y,70,0.398,398,C,C2,,
Grant County,,New Mexico,,,MC0372,cryptomelane,Fierro Manganese Group,,S.K. Neuschel,32.83401,-108.08281,MRDS,60000400,,Reference Hand Sample(s),Paper Bag,Y,90,0.106,106,C,C2,,
Socorro County,,New Mexico,,Black Feather Claim,MC0374,cryptomelane,Luis Lopez District,,S.K. Neuschel,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Paper Bag,Y,80,0.48,480,C,C2,,
Smyth County,,Virginia,E-42,Dean's Branch Prospect,MC0395,cryptomelane,,,R.L. Miller,36.77728,-81.53982,MRDS,10179084,,Reference Hand Sample(s),Rock Bag,Y,70,0.722,722,C,C3,,
Smyth County,,Virginia,E-37,Hutton Mine,MC0403,cryptomelane,,,R.L. Miller,36.74758,-81.51952,MRDS,10100634,,Reference Hand Sample(s),Rock Bag,Y,90,0.238,238,C,C4,,
Marion,,Virginia,E-52,Currin Valley Mines,MC0405,cryptomelane,,,R.L. Miller,36.79175,-81.49982,MRDS,10106476,,Reference Hand Sample(s),Rock Bag,Y,80,0.418,418,C,C4,,
Bedford County,,Pennsylvania,E-36,Sherman Valley ,MC0433,cryptomelane,Simon and Coles is noted on samples.,,,40.09222,-78.24781,MRDS,10128476,,Reference Hand Sample(s),Rock Bag,Y,90,0.096,96,D,D1,,
Washington County,,Tennessee,,West Ore Bank Mine,MC0434,cryptomelane,,,P.B. King,36.15339,-82.51296,MRDS,10251398,,Reference Hand Sample(s),Rock Bag,Y,90,0.196,196,D,D1,,
Johnson County,,Tennessee,,Neely Mine,MC0438,cryptomelane,,,P.B. King,36.56618,-81.73953,MRDS,10275471,,Reference Hand Sample(s),Rock Bag,Y,90,0.124,124,D,D1,,
Shannon County,,Missouri,SE-14,Seaman No.1 Mine,MC0459,cryptomelane,,,,37.10477,-91.18203,MRDS,10123564,,Reference Hand Sample(s),Rock Bag,Y,70,0.182,182,D,D2,,
Chalchihuites,,Zacatecas,M-31,La Colorada Mine,MC0490,cryptomelane,,,Parker D. Trask,23.48377,-103.88378,MRDS,10073020,,Reference Hand Sample(s),Rock Bag,Y,75,0.18,180,D,D4,,
San Bernardino,,California,Cal-103,Dawson Deposit,MC0586,cryptomelane,,,,34.39004,-114.26301,MRDS,10095185,,Reference Hand Sample(s),Rock Bag,Y,70,0.396,396,E,E5,,
Carson City,,Nevada,NE-23,Dixon Brothers Prospect,MC0675,cryptomelane,Pine Nut Mountain,,,39.17050,-119.61490,MRDS,10296228,,Reference Hand Sample(s),Rock Bag,Y,50,1.542,"1,542",F,F6,,
Brazil,,Mato Grosso do Sul,,Urucum Mine,MC0681,cryptomelane,,,J.V.H. Dorr,-19.13091,-57.54925,MRDS,10024440,,Reference Hand Sample(s),Rock Bag,Y,50,0.82,820,F,F6,,
Cuba,Granma,,Cu-8,La Unica Mine,MC0712,cryptomelane,,,John A. Straczek,20.14116,-76.35832,MRDS,10061327,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,55,1.606,"1,606",G,G2,,
Japan,Hokkaido,,J-24,Kokko Mine,MC0760,cryptomelane,"""Kokko Mine, Hokkaido""-Y. Hariya",Reference_17,Yu Hariya,43.14434,140.85976,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,80,0.02,20,G,G5,,
Jackson County,,Colorado,Col-12,Northgate ,MC0673,fluorite,,,,40.93333,-106.25278,MRDS,10400604,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,1.1,"1,100",F,F6,,
Dona Ana County,,New Mexico,,Hust Manganese Claim,MC0332,geothite,,,S.K. Neuschel,32.54733,-106.95998,MRDS,10198989,,Reference Hand Sample(s),Rock Bag,N,60,0.292,292,B,B5,,
Pima County,,Arizona,AR-14,COD Mine,MC0008,hausmannite,Las Guijas Mine Group,,,31.65733,-111.37929,MRDS,10162307,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.668,668,A,1,,
Clallam County,,Washington,WA-1-2,Crescent Mine,MC0212,hausmannite,,,John A. Straczek,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,75,1.06,"1,060",A,15,,
Clallam County,,Washington,WA-1-16,Crescent Mine,MC0213,hausmannite,,,John A. Straczek,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,40,0.626,626,A,15,,
Clallam County,,Washington,,Crescent Mine,MC0219,hausmannite,,,John A. Straczek,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,55,0.748,748,A,16,,
Clallam County,,Washington,WA-1-19,Crescent Mine,MC0226,hausmannite,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,45,0.634,634,A,16,,
Independence County,,Arkansas,SE-7,W.T. Gray Mine,MC0463,hausmannite,,,,35.88429,-91.61654,MRDS,10156320,,Reference Hand Sample(s),Rock Bag,Y,80,0.024,24,D,D2,,
Iron County,,Missouri,SE-16,Big Muddy Mine,MC0467,hausmannite,MRDS File Name: Big Bogg Mountain Mine,,D.F. Hewett,37.54727,-90.66151,MRDS,10244125,,Reference Hand Sample(s),Rock Bag,Y,60,0.888,888,D,D3,,
Independence County,,Arkansas,SE-2,Hankins Hollow Mine,MC0470,hausmannite,,,,35.88119,-91.82705,MRDS,10138685,,Reference Hand Sample(s),Rock Bag,Y,65,1.218,"1,218",D,D3,,
Bromide,,Oklahoma,SE-19,Viola-Bromide Deposit,MC0476,hausmannite,MRDS File Name: Springbrook Deposit Bromide,Reference_16,Dick Erd,34.37952,-96.53468,MRDS,10151496,,Reference Hand Sample(s),Rock Bag,Y,75,0.792,792,D,D3,,
Sonoma County,,California,Cal-17,Aho Mine,MC0533,hausmannite,,,,38.53544,-123.18080,MRDS,10033628,,Reference Hand Sample(s),Rock Bag,Y,75,0.744,744,E,E2,,
Mendocino County,,California,Cal-61,Linser Mine,MC0604,hausmannite,,,M.D. Crittenden,39.98429 ,-123.63723,MRDS,10109247,,Reference Hand Sample(s),Rock Bag,Y,65,1.486,"1,486",E,E7,,
Trinity County,,California,Cal-41,Lucky Bill Prospect,MC0617,hausmannite,Old Bill is noted on samples.,,,40.29124,-123.10694,MRDS,10095214,,Reference Hand Sample(s),Rock Bag,N,45,0.86,860,F,F1,,
Trinity County,,California,Cal-49,Double A Mine,MC0626,hausmannite,,,M.D. Crittenden,40.20675,-123.27551,MRDS,10263508,,Reference Hand Sample(s),Rock Bag,Y,55,0.868,868,F,F2,,
Trinity County,,California,Cal-33,Blue Jay Mine,MC0646,hausmannite,,,,40.11235,-123.24611,MRDS,10214554,,Reference Hand Sample(s),Rock Bag,Y,60,1.526,"1,526",F,F4,,
Trinity County,,California,Cal-33,Blue Jay Mine,MC0648,hausmannite,,,,40.11235,-123.24611,MRDS,10214554,,Reference Hand Sample(s),Rock Bag,Y,50,1.38,"1,380",F,F4,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0678,hausmannite,,,,37.68075,-120.28127,MRDS,10030814,,"Reference Hand Sample(s),Powder",Rock Bag,N,45,2.882,"2,882",F,F6,,
Morocco,Ouarzazate,,Mor-4,Tachgagalt,MC0721,hausmannite,,,,30.83293,-6.83168,MRDS,10090235,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,1.112,"1,112",G,G3,,
France,,,Eu-2,Las Cabesses Mine,MC0733,hausmannite,Pyrenees Range,Reference_31,D.F. Hewett,42.95501,1.29833,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,N,45,0.618,618,G,G4,,
Japan,Tohoku,,J-13,Noda-Tamagawa Mine,MC0753,hausmannite,"""Noda-tamagawa Mine (Shimo-ichigo gal.) Iwate Pref.-Bed in paleozoic sediments""-T. Watanabe",Reference_12,"Takeo, Watanabe",36.66938,139.44736,ArcGIS,,,Reference Hand Sample(s),Paper Bag,N,45,0.248,248,G,G5,,
Beaver County,,Utah,UT-8,Miller Scheelite Claims Mine,MC0275,helvite,,,,38.36053,-112.77718,MRDS,10010357,,Reference Hand Sample(s),Glass Vial,N,5,0.0000019,0.0019,B,B2,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0345,hetaerolite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,75,0.352,352,B,B6,,
Edwards,,New York,Cal-114,Talc Quarry (Talcville),MC0674,hexagonite,,, Louis W. Currier,44.30942,-75.30959,MRDS,10082213,,Reference Hand Sample(s),Rock Bag,N,5,0.138,138,F,F6,,
Ellington,,Missouri,,Mccaw-Nash Prospect,MC0075,hollandite,,,Oliver Grawe,37.20227,-91.02152,MRDS,10148202,,Reference Hand Sample(s),Rock Bag,N,40,0.668,668,A,6,,
Ellington,,Missouri,,Mccaw-Nash Prospect,MC0076,hollandite,,,Oliver Grawe,37.20227,-91.02152,MRDS,10148202,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.678,678,A,6,,
Esmeralda County,,Nevada,NE-3A,Mohawk Mine,MC0125,hollandite,,,,37.72911,-117.81343,MRDS,10046778,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.25,250,A,9,,
Hidalgo County,,New Mexico,NM-12,Peace Manganese Prospect,MC0290,hollandite,,,S.K. Neuschel,31.58070,-108.79229,MRDS,10008865,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.668,668,B,B3,,
Dona Ana County,,New Mexico,,Ward Claims,MC0334,hollandite,,,S.K. Neuschel,32.55183,-107.06998,MRDS,10271830,,Reference Hand Sample(s),Rock Bag,N,60,0.296,296,B,B5,,
Socorro County,,New Mexico,,Cliffside Mine,MC0351,hollandite,Water Canyon Manganese Mine 1914,,S.K. Neuschel,34.02231,-107.12309,MRDS,10008852,,Reference Hand Sample(s),Paper Bag,N,45,0.518,518,C,C1,,
Grant County,,New Mexico,,Black Diamond Mine,MC0361,hollandite,Black Diamond Group,,S.K. Neuschel,32.86817,-108.20756,MRDS,10014794,,Reference Hand Sample(s),Paper Bag,Y,80,1.62,"1,620",C,C1,,
Socorro County,,New Mexico,,Lucky Strike No.1,MC0368,hollandite,,,R.C. Erd,33.99149,-106.99249,MRDS,10248047,,Reference Hand Sample(s),Paper Bag,Y,75,0.326,326,C,C2,,
Socorro County,,New Mexico,,Cliff Claim,MC0375,hollandite,,,S.K. Neuschel,33.95065,-106.96920,MRDS,10089315,,Reference Hand Sample(s),Paper Bag,Y,80,1.17,"1,170",C,C2,,
Socorro County,,New Mexico,,Red Hill Claims,MC0389,hollandite,Luis Lopez District,,S.K. Neuschel,33.95319,-106.96139,MRDS,10272438,,Reference Hand Sample(s),Paper Bag,Y,85,2.762,"2,762",,On Dresser A,,
Shady Valley,,Tennessee,E-24,Scott Prospect,MC0426,hollandite,,,,36.52068,-81.94374,MRDS,10201898,,Reference Hand Sample(s),Rock Bag,Y,80,0.264,264,C,C5,,
Inyo County,,California,Cal-8,Death Valley Claims,MC0572,hollandite,,,,36.50848,-117.40739,MRDS,10033471,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.192,192,E,E4,,
Clallam County,,Washington,WA-1-16,Crescent Mine,MC0216,inesite,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,60,0.218,218,A,15,,
San Luis Obispo County ,,California,Cal-58,Rinconada Mine,MC0582,inesite,,,,35.28941,-120.47764,MRDS,10103825,,Reference Hand Sample(s),Rock Bag,N,40,0.668,668,E,E5,,
Mendocino County,,California,Cal-46,Foster Mountain Mine,MC0602,inesite,,,M.D. Crittenden,39.44069,-123.17831,MRDS,10031344,,Reference Hand Sample(s),Rock Bag,Y,60,1.96,"1,960",E,E7,,
Trinity County,,California,Cal-42,Yolla Bolly Mountain Claims,MC0628,inesite,,,,40.13679,-122.99166,MRDS,10033733,,Reference Hand Sample(s),Rock Bag,N,45,0.376,376,F,F2,,
Butte County,,California,Cal-154,Shamberger Prospect,MC0530,jacobsite,,,,39.55099,-121.16271,MRDS,10028533,,Reference Hand Sample(s),Rock Bag,N,40,0.812,812,E,E1,,
Butte County,,California,Cal-153,Binet,MC0536,jacobsite,,,,39.55018,-121.15794,MRDS,10211094,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,60,0.596,596,E,E2,,
Esmeralda County,,Nevada,NE-1,Tonopah Divide Mine,MC0101,johannsenite,,,,37.99688,-117.24008,MRDS,10046865,,Reference Hand Sample(s),Rock Bag,N,40,2.156,"2,156",A,7,,
Riondel ,British Columbia,,C-2,Bluebell Mine,MC0657,knebelite,"Kootenay Lake in British Columbia, Canada",,,49.75987,-116.86110,MRDS,10191144,,"Reference Hand Sample(s),Pebble",Rock Bag,N,10,0.168,168,F,F4,,
