Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Cuba,Granma,,Cu-6,Charco Redondo Mine,MC0717,todorokite,,,,20.24337,-76.41915,MRDS,10061336,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,90,1.388,"1,388",G,G3,,
Apache County,,Arizona,AR-10,Sonsela Butte Deposit,MC0001,,,,,36.09586,-109.05177,MRDS,10048360,,Reference Hand Sample(s),Rock Bag,Y,70,0.442,442,A,1,,
Pinal County,,Arizona,AR-18,Santa-Rosa Mine,MC0003,,,,,32.64620,-111.76041,MRDS,10183265,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.798,798,A,1,,
Pinal County,,Arizona,AR-19,Black Jewel Claim,MC0006,,,,,32.72732,-111.77793,MRDS,10039511,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.426,426,A,1,,
Pinal County,,Arizona,AR-16,Teller Mine,MC0007,,,,,32.64538,-111.76627,MRDS,10103746,,"Reference Hand Sample(s),Powder",Rock Bag,N,30,0.322,322,A,1,,
Pinal County,,Arizona,AR-3,Swingle Claim,MC0009,,,,,32.80788,-110.51957,MRDS,10039512,,"Reference Hand Sample(s),Powder",Rock Bag,Y,100,0.54,540,A,1,,
Mohave County,,Arizona,AR-15,Barbee Claims,MC0012,,Artillery Peak,,,34.34504,-113.56968,MRDS,10186150,,Reference Hand Sample(s),Rock Bag,Y,98,0.112,112,A,1,,
Mohave County,,Arizona,AR-11,Chapin Claim No.19,MC0013,,Artillery Peak,,,34.33810,-113.63689,MRDS,10027664,,Reference Hand Sample(s),Rock Bag,Y,90,0.306,306,A,1,,
Graham County,,Arizona,AR-17,Bush Claim,MC0014,,,,,32.45067,-109.71759,MRDS,10026986,,Reference Hand Sample(s),Rock Bag,Y,98,0.212,212,A,1,,
Coconino County,,Arizona,AR-7,Long Valley Claim,MC0015,,,,,34.60475,-111.30151,MRDS,10234191,,Reference Hand Sample(s),Rock Bag,Y,90,0.354,354,A,1,,
Aguila District,,Arizona,AR-20,Atkins Mine,MC0016,,Black Crow Mine Group,,,33.78450,-113.07993,MRDS,10104091,,Reference Hand Sample(s),Rock Bag,N,20,0.39,390,A,2,,
Aguila District,,Arizona,AR-20,Black Hawk Mine,MC0019,,,,,33.70616,-113.17186,MRDS,10186723,,"Reference Hand Sample(s),Powder",Rock Bag,Y,95,0.244,244,A,2,,
Aguila District,,Arizona,AR-20,Wisconsin Prospect,MC0020,,,,,33.72786,-113.21656,MRDS,10113474,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.178,178,A,2,,
Aguila District,,Arizona,AR-20,Pansy Mine,MC0021,,,,,33.76446,-113.13966,MRDS,10162133,,"Reference Hand Sample(s),Powder",Rock Bag,N,30,0.38,380,A,2,,
Aguila District,,Arizona,AR-20,Black Queen Mine,MC0022,,,,,33.75426,-113.23606,MRDS,10210561,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.33,330,A,2,,
Aguila District,,Arizona,AR-20,Black Rock,MC0023,,,,,33.73950,-113.17687,MRDS,10027086,,"Reference Hand Sample(s),Powder",Rock Bag,Y,98,0.674,674,A,2,,
Aguila District,,Arizona,AR-20,Danville and Hanchette Claim,MC0024,,,,,33.6750389,-112.9976477,Earth Point©,,"Section 20,T4N,R7W",Reference Hand Sample(s),Rock Bag,N,25,0.766,766,A,2,,
Aguila District,,Arizona,AR-20,,MC0025,,,,,33.7898381,-113.2201003,Earth Point©,,"Section 8,T5N,R9W",Reference Hand Sample(s),Rock Bag,N,20,0.856,856,A,2,,
Maricopa County,,Arizona,AR-20,,MC0028,,,,,33.7752387,-113.1157223,Earth Point©,,"Section 17,T5N,R8W","Reference Hand Sample(s),Powder",Rock Bag,N,40,0.31,310,A,2,,
Maricopa County,,Arizona,AR-20,,MC0029,,,,,33.7679609,-113.1070243,Earth Point©,,"Southeast Section 17,T5N,R8W","Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.704,704,A,2,,
Aguila District,,Arizona,AR-20,Apache Mine,MC0030,,,,,33.78617,-110.69099,MRDS,10258508,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.866,866,A,2,,
Aguila District,,Arizona,AR-20,Black Bear Mine,MC0031,,,,,32.02842,-111.49320,MRDS,10210691,,Reference Hand Sample(s),Rock Bag,N,45,0.332,332,A,3,,
Aguila District,,Arizona,AR-20,Valley View Claim,MC0032,,,,,33.76534,-113.11187,MRDS,10009776,,Reference Hand Sample(s),Rock Bag,Y,60,0.058,58,A,3,,
Artillery Peak,,Arizona,AR-23,Maggie 1-A-Adit,MC0034,,,,,34.34724,-113.65078,MRDS,10162258,,Reference Hand Sample(s),Rock Bag,Y,80,0.366,366,A,3,,
Aguila District,,Arizona,AR-20,Black Bart,MC0035,,,,,33.73256,-113.16826,MRDS,10027061,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,1.266,"1,266",A,3,,
Artillery Peak,,Arizona,AR-23,Maggie Tunnel,MC0037,,,,,34.34724,-113.65078,MRDS,10162258,,Reference Hand Sample(s),Rock Bag,Y,80,0.832,832,A,3,,
Aguila District,,Arizona,AR-20,Snowball Mine,MC0038,,,,,33.65256,-113.31567,MRDS,10027659,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.35,350,A,3,,
Artillery Peak,,Arizona,AR-23,Artillery Peak Mine,MC0039,,,,,34.34504,-113.56968,MRDS,10186150,,Reference Hand Sample(s),Rock Bag,Y,70,0.292,292,A,3,,
Pinal County,,Arizona,AR-5,Tarr and Harper Mine,MC0041,,Crescent Deposit,,,32.83760,-110.73179,MRDS,10088604,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.632,632,A,3,,
Artillery Peak,,Arizona,AR-23,Chapin Claim 15,MC0043,,,,,34.33810,-113.63689,MRDS,10027664,,Reference Hand Sample(s),Rock Bag,N,40,1.122,"1,122",A,3,,
La Paz County,,Arizona,A-12, Jolly Roger Mine,MC0045,,Dobbins Claims,,M.D. Crittenden,33.96755,-113.96298,MRDS,10131912,,Reference Hand Sample(s),Rock Bag,Y,85,0.306,306,A,4,,
Duncan,,Arizona,,Luckie No.1 Fluorite Claim,MC0046,,,,J.K. Grunig,32.84789,-109.05453,MRDS,10043299,,Reference Hand Sample(s),Rock Bag,Y,100,0.128,128,A,4,,
Gila County,,Arizona,G-11,New Dominion Mine,MC0047,,,,M.D. Crittenden,33.42591,-110.78902,MRDS,10109786,,Reference Hand Sample(s),Rock Bag,Y,70,0.518,518,A,4,,
La Paz County,,Arizona,A-5,War Eagle Group,MC0048,,,,M.D. Crittenden,34.21864,-113.97358,MRDS,10234952,,Reference Hand Sample(s),Rock Bag,Y,80,0.55,550,A,4,,
Globe District,,Arizona,G-12,North Rambo Mine,MC0049,,,,M.D. Crittenden,33.45838,-110.77239,MRDS,10160847,,Reference Hand Sample(s),Rock Bag,Y,98,0.112,112,A,4,,
Duncan,,Arizona,,Luckie No.2 Fluorite Claim,MC0050,,,,J.K. Grunig,32.84789,-109.05453,MRDS,10043299,,Reference Hand Sample(s),Rock Bag,Y,100,0.08,80,A,4,,
Holbrook,,Arizona,,Apache Indian Reservation,MC0051,,,,,33.79368,-110.69569,MRDS,10026831,,Reference Hand Sample(s),Rock Bag,Y,98,0.632,632,A,4,,
Artillery Peak,,Arizona,A-9,Needle Eye Mine,MC0052,,,,M.D. Crittenden,34.32032,-113.54771,MRDS,10027671,,Reference Hand Sample(s),Rock Bag,Y,80,0.514,514,A,4,,
Sierra Ancha District,,Arizona,A-11,Apache Mine,MC0053,,,,M.D. Crittenden,33.79368,-110.69569,MRDS,10026831,,Reference Hand Sample(s),Rock Bag,Y,90,0.446,446,A,4,,
Duncan,,Arizona,,Fourth of July No.4 Claim,MC0054,,,,J.K. Grunig,32.86039,-109.0762,MRDS,10048298,,Reference Hand Sample(s),Rock Bag,Y,90,0.32,320,A,4,,
Greenlee County,,Arizona,T-1,Thurston and Hardy Mine,MC0055,,,,M.D. Crittenden,32.86678,-109.25064,MRDS,10010056,,Reference Hand Sample(s),Rock Bag,N,30,0.164,164,A,4,,
Yavapai County,,Arizona,A-7,Burmister Mine,MC0056,,,,M.D. Crittenden,34.32561,-112.08017,MRDS,10108990,,Reference Hand Sample(s),Rock Bag,Y,95,0.628,628,A,4,,
Globe,,Arizona,G-13,Globe Manganese ,MC0057,,Borge is noted on samples.,,M.D. Crittenden,33.42648,-110.74679,MRDS,10282948,,Reference Hand Sample(s),Rock Bag,Y,70,0.62,620,A,4,,
Pima County,,Arizona,,Manganese King Mine,MC0059,,Papago Indian Reservation,,M.D. Crittenden,32.42760,-112.12711,MRDS,10102391,,Reference Hand Sample(s),Rock Bag,Y,90,0.308,308,A,4,,
Globe District,,Arizona,G-6,Globe Manganese Mine,MC0060,,,,M.D. Crittenden,33.44452,-110.75875,MRDS,10046317,,Reference Hand Sample(s),Rock Bag,Y,80,0.248,248,A,4,,
Pinal County,,Arizona,AR-28,Holy Joe Peak,MC0061,,"North of Zapata Wash, Pinal County, Arizona",Reference_20,M.H. Krieger,32.8027519,-110.6219948,Earth Point©,,"Northeast Section 29,T7S, R17E",Reference Hand Sample(s),Rock Bag,Y,98,4.4,"4,400",,On Dresser A,,
Tombstone District,,Arizona,G-2,Black Tail Group ,MC0062,,,,"C.F. Park, Jr.",31.69153,-110.07426,MRDS,10112719,,Reference Hand Sample(s),Rock Bag,Y,75,1.874,"1,874",A,5,,
Gila County,,Arizona,,Rattlesnake Claims,MC0063,,,,J.N. Faick,33.77367,-111.00630,MRDS,10256861,,Reference Hand Sample(s),Rock Bag,Y,50,1.112,"1,112",A,5,,
Tombstone District,,Arizona,G-3,Contact Mine,MC0064,,,,A.E. Hauyer,31.69152,-110.08705,MRDS,10027104,,Reference Hand Sample(s),Rock Bag,N,40,1.782,"1,782",A,5,,
Globe District,,Arizona,G-8,Ramboz Mine,MC0065,,Rambo Mine,,M.D. Crittenden,33.45591,-110.77263,MRDS,10046307,,Reference Hand Sample(s),Rock Bag,N,30,0.5,500,A,5,,
Pinal County,,Arizona,A-13,Almino Group,MC0067,,,,M.D. Crittenden,33.11676,-110.93402,MRDS,10008529,,Reference Hand Sample(s),Rock Bag,Y,60,0.616,616,A,5,,
Pinal County,,Arizona,A-15,Cochise Group,MC0068,,,,M.D. Crittenden,33.11676,-110.88402,MRDS,10090603,,Reference Hand Sample(s),Rock Bag,Y,70,0.598,598,A,5,,
Peach Springs District,,Arizona,,Peach Springs Manganese Mine,MC0069,,"Coconino county, Arizona",,,35.67530,-113.01077,MRDS,10027560,,Reference Hand Sample(s),Rock Bag,N,40,0.61,610,A,5,,
Pinal County,,Arizona,S-1,Monarch Claim,MC0070,,Queen Creek Tunnel,,M.D. Crittenden,33.28929,-111.08850,MRDS,10138000,,Reference Hand Sample(s),Rock Bag,Y,80,0.238,238,A,5,,
Sierra Ancha District,,Arizona,A-2,Armer Wash Mine,MC0071,,,,M.D. Crittenden,33.75007,-111.03403,MRDS,10090601,,Reference Hand Sample(s),Rock Bag,Y,70,0.32,320,A,5,,
Sierra Ancha District,,Arizona,A-1,Armer Wash Mine,MC0072,,,,M.D. Crittenden,33.75007,-111.03403,MRDS,10090601,,Reference Hand Sample(s),Rock Bag,N,30,0.5,500,A,5,,
Globe District,,Arizona,G-5,Ramboz Mine,MC0073,,Rambo Mine,,M.D. Crittenden,33.45591,-110.77263,MRDS,10046307,,Reference Hand Sample(s),Rock Bag,N,40,0.72,720,A,5,,
Yuma County,,Arizona,A-3,"Kaiserdoom, Spring Mine Group",MC0074,,,,M.D. Crittenden,34.28672,-113.42144,MRDS,10027654,,Reference Hand Sample(s),Rock Bag,Y,70,0.472,472,A,5,,
Humboldt,,Nevada,23-19,Alpine Hg Mine,MC0078,,,,,41.19517,-117.28929,MRDS,10045075,,Reference Hand Sample(s),Rock Bag,N,15,0.236,236,A,6,,
White Pine County,,Nevada,NE-5a,Hidden Treasure,MC0080,,"Hamilton, Nevada noted on specimen.",,,39.23053,-115.47528,MRDS,10223095,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.478,478,A,6,,
Nye County,,Nevada,NE-22,Tonopah,MC0081,,Tonopah Mining District,,,38.08327,-117.21925,MRDS,10310396,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,98,0.23,230,A,6,,
Lincoln County,,Nevada,NE-17,Wells Cargo Mine,MC0085,,,,,37.21165,-114.29054,MRDS,10046393,,Reference Hand Sample(s),Rock Bag,Y,75,0.502,502,A,6,,
Carson City,,Nevada,NE-23,Dixon Brothers Prospect,MC0086,,,,,39.17050,-119.61490,MRDS,10296228,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.874,874,A,6,,
Bouse District,,Arizona,146,Black Chief Mine,MC0087,,,,,33.93695,-114.08829,MRDS,10259133,,Powder,Bottle Label,Y,100,0.012,12,A,6,,
Bouse District,,Arizona,144,Black Bird Mine,MC0088,,,,,33.92949,-113.99828,MRDS,10024060,,Powder,Bottle Label,Y,100,0.018,18,A,6,,
Bouse District,,Arizona,143,,MC0089,,,,,33.935964,-113.9313341,Earth Point©,,"Section 21,T7N,R16W",Powder,Bottle Label,Y,100,0.044,44,A,6,,
Bouse District,,Arizona,145,Linda K. Mine,MC0090,,,,,33.94755,-113.88548,MRDS,10210786,,Powder,Bottle Label,Y,100,0.014,14,A,6,,
Pinal County,,Arizona,148,Pointing Cactus Group,MC0091,,,,,32.63232,-111.74043,MRDS,10088603,,Powder,Bottle Label,Y,100,0.008,8,A,6,,
Pershing County,,Nevada,NE-37,Humboldt House Springs,MC0092,,,,, 40.58959,-118.26488,MRDS,10198597,,Reference Hand Sample(s),Rock Bag,N,30,0.496,496,A,6,,
Golconda-Humboldt County,,Nevada,NE-4, Golconda Hot Spring,MC0093,,,,,40.95433,-117.49040,MRDS,10044941,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.48,480,A,7,,
White Pine County,,Nevada,NE-8a,Treasure Hill Mine,MC0096,,,,,39.22160,-115.48394,MRDS,10310457,,"Reference Hand Sample(s),Powder",Rock Bag,Y,55,0.588,588,A,7,,
Hamilton,,Nevada,NE-11a,Seligman Mine,MC0097,,,,,39.26053,-115.55258,MRDS,10247385,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,60,0.266,266,A,7,,
Lincoln County,,Nevada,,Hulse Deposit,MC0098,,,,,38.45523,-114.33362,MRDS,10008830,,Reference Hand Sample(s),Rock Bag,Y,98,0.142,142,A,7,,
White Pine County,,Nevada,NE-24,Maverick Springs Range,MC0099,,,,,39.94825,-115.45228,MRDS,10310453,,Reference Hand Sample(s),Rock Bag,N,20,0.33,330,A,7,,
Ely,,Nevada,NE-20,Vietti Mine,MC0100,,,,,39.18554,-114.76506,MRDS,10197973,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.496,496,A,7,,
Lander County,,Nevada,NE-7,Warm Springs Prospect,MC0102,,,,,40.51573,-117.10011,MRDS,10044813,,"Reference Hand Sample(s),Powder",Rock Bag,N,20,0.126,126,A,7,,
Pershing County,,Nevada,NE-14,Sou Hot Spring,MC0103,,,,,40.08570,-117.72156,MRDS,10295567,,Pebble,Rock Bag,N,40,0.27,270,A,7,,
Appomattox County,,Virginia,,Stonewall Manganese Mine,MC0104,,,,,37.44673,-78.97946,MRDS,10082523,,Reference Hand Sample(s),Rock Bag,Y,90,0.326,326,A,7,,
Campbell County,,Virginia,,Bell Mine,MC0105,,,,,37.29673,-79.18947,MRDS,10084447,,Reference Hand Sample(s),Rock Bag,Y,90,0.708,708,A,7,,
Campbell County,,Virginia,,Leets Manganese Mine,MC0107,,,,,37.39006,-79.04114,MRDS,10082535,,Reference Hand Sample(s),Rock Bag,Y,80,0.652,652,A,7,,
Campbell County,,Virginia,,Mortimer Mine,MC0108,,,,,37.25839,-79.23308,MRDS,10100495,,Reference Hand Sample(s),Rock Bag,Y,70,0.636,636,A,7,,
White Pine County,,Nevada,NE-10,Ward Beecher Deposit,MC0110,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder",Rock Bag,N,10,0.826,826,A,8,,
White Pine County,,Nevada,NE-10-1,Ward Beecher Deposit,MC0111,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder",Rock Bag,N,20,0.25,250,A,8,,
White Pine County,,Nevada,NE-10-2,Ward Beecher Deposit,MC0112,,,,,39.22493,-115.48778,MRDS,10174427,,Reference Hand Sample(s),Rock Bag,N,15,0.374,374,A,8,,
White Pine County,,Nevada,NE-10-3,Ward Beecher Deposit,MC0113,,,,,39.22493,-115.48778,MRDS,10174427,,Reference Hand Sample(s),Rock Bag,N,5,0.372,372,A,8,,
White Pine County,,Nevada,NE-10-4,Ward Beecher Deposit,MC0114,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder",Rock Bag,N,10,1.064,"1,064",A,8,,
White Pine County,,Nevada,NE-10-5-3,Ward Beecher Deposit,MC0115,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,N,5,0.842,842,A,8,,
White Pine County,,Nevada,NE-10-A-1,Ward Beecher Deposit,MC0116,,,,,39.22493,-115.48778,MRDS,10174427,,Reference Hand Sample(s),Rock Bag,N,5,0.744,744,A,8,,
White Pine County,,Nevada,NE-10-A-2,Ward Beecher Deposit,MC0117,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,N,10,0.4,400,A,8,,
White Pine County,,Nevada,NE-10-A-3,Ward Beecher Deposit,MC0118,,,,,39.22493,-115.48778,MRDS,10174427,,Reference Hand Sample(s),Rock Bag,N,5,0.00034,0.34,A,8,,
White Pine County,,Nevada,NE-10-D-1,Ward Beecher Deposit,MC0119,,,,,39.22493,-115.48778,MRDS,10174427,,"Reference Hand Sample(s),Powder",Rock Bag,N,5,0.178,178,A,8,,
White Pine County,,Nevada,NE-4A,Aurora Deposit,MC0120,,,,,39.21803,-115.48338,MRDS,10198104,,"Reference Hand Sample(s),Powder",Rock Bag,N,15,0.294,294,A,8,,
White Pine County,,Nevada,NE-12,Treasure Hill Mine Area,MC0122,,,,,39.22160,-115.48394,MRDS,10310457,,"Reference Hand Sample(s),Powder",Rock Bag,N,30,1.524,"1,524",A,9,,
White Pine County,,Nevada,NE-12-H-8,Treasure Hill Mine Area,MC0123,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,25,0.122,122,A,9,,
White Pine County,,Nevada,NE-12-H-17,Treasure Hill Mine Area,MC0124,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,40,0.28,280,A,9,,
White Pine County,,Nevada,NE-12-9-16,Treasure Hill Mine Area,MC0127,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,20,0.362,362,A,9,,
White Pine County,,Nevada,NE-12-H-2,Treasure Hill Mine Area,MC0128,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,15,0.144,144,A,9,,
White Pine County,,Nevada,NE-12-H-6,Treasure Hill Mine Area,MC0129,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,10,0.168,168,A,9,,
Pershing County,,Nevada,NE-31,Humboldt House,MC0130,,,,,40.58959,-118.26488,MRDS,10198597,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.578,578,A,9,,
Elko County,,Nevada,NE-13,Midas Elko Prince Mine,MC0132,,,,,41.24160,-116.79315,MRDS,10149494,,Reference Hand Sample(s),Rock Bag,N,10,0.592,592,A,9,,
White Pine County,,Nevada,NE-12-H-7,Treasure Hill Mine Area,MC0133,,,,,39.22160,-115.48394,MRDS,10310457,,Reference Hand Sample(s),Rock Bag,N,10,0.806,806,A,9,,
Nye County,,Nevada,NE-15-Q-67,Quinn Canyon Range,MC0135,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.664,664,A,10,,
Nye County,,Nevada,NE-15-Q-65,Quinn Canyon Range,MC0137,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,50,0.352,352,A,10,,
Nye County,,Nevada,NE-15-Q-10,Quinn Canyon Range,MC0138,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Sand,Pebble",Rock Bag,Y,50,0.156,156,A,10,,
Nye County,,Nevada,NE-15-Q-5,Quinn Canyon Range,MC0139,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,50,0.286,286,A,10,,
Nye County,,Nevada,NE-15-Q-63,Quinn Canyon Range,MC0140,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,N,30,0.618,618,A,10,,
Nye County,,Nevada,NE-15-Q-1,Quinn Canyon Range,MC0141,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Sand,Pebble",Rock Bag,N,40,0.312,312,A,10,,
Nye County,,Nevada,NE-15-Q-64,Quinn Canyon Range,MC0142,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,N,20,0.328,328,A,10,,
Nye County,,Nevada,NE-15-Q-55B,Quinn Canyon Range,MC0144,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Envelope,N,5,0.162,162,A,10,,
Nye County,,Nevada,NE-15-Q-58A,Quinn Canyon Range,MC0145,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Envelope,N,10,0.134,134,A,10,,
Nye County,,Nevada,NE-15,Quinn Canyon Range,MC0146,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,50,0.944,944,A,10,,
Nye County,,Nevada,NE-15-Q-66,Quinn Canyon Range,MC0147,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,N,10,0.352,352,A,10,,
Nye County,,Nevada,NE-15-Q-8,Quinn Canyon Range,MC0148,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,N,30,0.412,412,A,10,,
Nye County,,Nevada,NE-15-Q-2,Quinn Canyon Range,MC0149,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,N,30,0.184,184,A,11,,
Nye County,,Nevada,NE-15-Q-50B,Quinn Canyon Range,MC0151,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,N,20,0.142,142,A,11,,
Nye County,,Nevada,NE-15-Q-52,Quinn Canyon Range,MC0152,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,50,0.47,470,A,11,,
Nye County,,Nevada,NE-15-Q-51D,Quinn Canyon Range,MC0153,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.46,460,A,11,,
Nye County,,Nevada,NE-15-22-9,Quinn Canyon Range,MC0155,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,70,0.756,756,A,11,,
Nye County,,Nevada,NE-15-Q-50A,Quinn Canyon Range,MC0156,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,N,30,0.054,54,A,11,,
Nye County,,Nevada,NE-15-Q-51A,Quinn Canyon Range,MC0159,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Envelope,N,10,0.12,120,A,11,,
Nye County,,Nevada,NE-15-Q-62,Quinn Canyon Range,MC0160,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Envelope,N,25,0.034,34,A,11,,
Nye County,,Nevada,NE-15-Q-51C,Quinn Canyon Range,MC0161,,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.318,318,A,11,,
Nye County,,Nevada,NE-15-Q-3,Quinn Canyon Range,MC0162,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,60,0.374,374,A,11,,
Nye County,,Nevada,NE-15-Q-13,Quinn Canyon Range,MC0163,,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,80,0.574,574,A,11,,
Pershing County,,Nevada,NE-26,Black Diablo Open Cut,MC0166,,,,,40.68101,-117.55124,MRDS,10103891,,Reference Hand Sample(s),Rock Bag,N,40,0.542,542,A,12,,
White Pine County,,Nevada,NE-18-35-2,Aurora Deposit,MC0167,,,,,39.21803,-115.48338,MRDS,10198104,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,N,30,0.112,112,A,12,,
White Pine County,,Nevada,LU-19,Aurora Deposit,MC0168,,,,,39.21803,-115.48338,MRDS,10198104,,Reference Hand Sample(s),Rock Bag,N,25,0.348,348,A,12,,
Carson City ,,Nevada,,Dixon Brothers Prospect,MC0169,,,,,39.17050,-119.61490,MRDS,10296228,,Reference Hand Sample(s),Rock Bag,Y,90,0.762,762,A,12,,
Humboldt County,,Nevada,,Virgin Valley Deposits,MC0170,,,,K. McLeod,41.78820,-119.10713,MRDS,10045033,,Reference Hand Sample(s),Rock Bag,Y,90,0.1,100,A,12,,
Lander County,,Nevada,LU-15,Black Devil Mine,MC0172,,,,,39.82381,-117.47956,MRDS,10045910,,Reference Hand Sample(s),Rock Bag,Y,60,0.322,322,A,12,,
Clark County,,Nevada,NE-25,Three Kids Deposit,MC0173,,,,,36.09139,-114.92770,MRDS,10037203,,Reference Hand Sample(s),Rock Bag,Y,80,0.6,600,A,12,,
Eureka County,,Nevada,LU-7-2,Gibellini Manganese Mine,MC0174,,,,,39.20826,-116.09034,MRDS,10044699,,Reference Hand Sample(s),Rock Bag,N,30,0.468,468,A,12,,
Eureka County,,Nevada,LU-7-H-6,Gibellini Manganese Mine,MC0175,,,,,39.20826,-116.09034,MRDS,10044699,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.194,194,A,12,,
Eureka County,,Nevada,LU-7-1,Gibellini Manganese Mine,MC0176,,,,,39.20826,-116.09034,MRDS,10044699,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.674,674,A,12,,
Eureka County,,Nevada,LU-7,Gibellini Manganese Mine,MC0177,,,,,39.20826,-116.09034,MRDS,10044699,,Reference Hand Sample(s),Rock Bag,Y,60,2.696,"2,696",A,12,,
Pershing County,,Nevada,,Big Mike Copper Mine,MC0178,,,,,40.54330,-117.56030,MRDS,10310578,,Reference Hand Sample(s),Rock Bag,N,40,0.33,330,A,12,,
Humboldt County,,Nevada,NE-30,Golconda Hot Spring,MC0179,,,,,40.95433,-117.49040,MRDS,10044941,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,1.944,"1,944",A,13,,
Butte ,,Montana,,,MC0181,,,,"C.F. Park, Jr.",46.01990,-112.53089,MRDS,10400191,,Reference Hand Sample(s),Rock Bag,Y,90,0.928,928,A,13,,
Phillipsburg,,Montana,MON-4,True Fissure Mine,MC0182,,Coyle Adit,,M.D. Crittenden,46.33489,-113.26564,MRDS,10071347,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,N,20,0.52,520,A,13,,
